transaction_id,transaction_date,region,product,quantity,unit_price,revenue,cost
1,2024-11-20,North America,Laptop,2,331.83,663.66,471.17
2,2024-09-20,Latin America,Mouse,1,469.01,469.01,362.37
3,2024-01-19,North America,Webcam,1,210.24,210.24,110.64
4,2024-03-02,Europe,Mouse,5,395.18,1975.9,1071.58
5,2025-03-17,North America,Monitor,3,255.44,766.32,486.56
6,2024-05-14,Asia Pacific,Monitor,1,483.81,483.81,335.77
7,2025-03-19,North America,Keyboard,2,127.81,255.62,159.81
8,2025-02-10,Latin America,Keyboard,7,257.66,1803.62,935.7
9,2024-06-10,North America,Keyboard,6,86.35,518.1,293.68
10,2024-02-08,Latin America,Headphones,1,183.94,183.94,127.57
11,2024-07-19,North America,Monitor,10,458.34,4583.4,3036.28
12,2024-08-13,North America,Mouse,2,88.17,176.34,128.09
13,2025-04-15,Asia Pacific,Laptop,9,137.29,1235.61,821.69
14,2024-11-27,Europe,Monitor,10,383.45,3834.5,1932.9
15,2024-07-15,Asia Pacific,Keyboard,10,31.34,313.4,229.95
16,2024-11-09,Europe,Headphones,9,24.07,216.63,151.96
17,2025-05-09,Asia Pacific,Keyboard,3,163.82,491.46,378.37
18,2024-01-18,Asia Pacific,Keyboard,10,158.01,1580.1,898.3
19,2024-11-30,North America,Webcam,5,305.94,1529.7,1005.74
20,2024-11-27,Latin America,Headphones,8,108.56,868.48,447.13
21,2025-05-09,Europe,Webcam,8,453.86,3630.88,1985.33
22,2024-11-02,North America,Headphones,10,259.69,2596.9,1360.57
23,2024-12-27,Europe,Mouse,6,262.03,1572.18,948.72
24,2025-01-12,Latin America,Laptop,7,92.99,650.93,445.94
25,2025-03-31,Latin America,Mouse,3,424.63,1273.89,801.52
26,2024-05-01,Asia Pacific,Laptop,8,106.17,849.36,567.38
27,2024-04-18,Latin America,Mouse,8,245.02,1960.16,1279.0
28,2024-04-25,Latin America,Headphones,6,51.69,310.14,215.91
29,2024-02-05,Latin America,Monitor,3,119.48,358.44,281.82
30,2024-07-25,North America,Mouse,3,202.74,608.22,380.41
31,2024-06-28,North America,Keyboard,3,463.9,1391.7,1061.16
32,2024-04-18,Europe,Keyboard,7,62.87,440.09,268.9
33,2024-12-07,North America,Mouse,4,339.09,1356.36,787.44
34,2025-04-12,Asia Pacific,Mouse,8,146.74,1173.92,620.25
35,2024-03-15,Asia Pacific,Webcam,10,382.59,3825.9,2098.05
36,2025-03-13,North America,Monitor,8,423.67,3389.36,2034.31
37,2025-04-21,Latin America,Headphones,8,402.39,3219.12,2517.54
38,2024-07-12,Latin America,Keyboard,5,128.76,643.8,483.68
39,2024-11-12,North America,Monitor,5,93.84,469.2,243.17
40,2024-06-03,Europe,Keyboard,9,364.67,3282.03,1681.9
41,2024-10-27,North America,Keyboard,7,256.17,1793.19,1004.12
42,2024-10-22,Asia Pacific,Keyboard,7,302.89,2120.23,1286.54
43,2024-04-27,North America,Mouse,6,87.06,522.36,351.84
44,2024-11-25,North America,Monitor,4,191.59,766.36,610.01
45,2024-10-26,Asia Pacific,Laptop,6,160.9,965.4,732.99
46,2024-01-25,Latin America,Keyboard,10,439.27,4392.7,2233.5
47,2025-03-09,Latin America,Mouse,9,451.44,4062.96,2738.38
48,2025-04-19,North America,Keyboard,7,66.15,463.05,291.27
49,2025-03-17,Europe,Mouse,8,489.8,3918.4,2650.54
50,2025-02-18,Asia Pacific,Laptop,1,169.41,169.41,92.47
51,2024-11-10,North America,Monitor,2,53.09,106.18,78.89
52,2024-04-02,Europe,Keyboard,7,316.73,2217.11,1710.28
53,2024-09-20,Asia Pacific,Headphones,6,302.54,1815.24,1385.73
54,2024-09-13,Europe,Headphones,9,421.41,3792.69,2116.26
55,2024-12-05,Latin America,Monitor,4,406.17,1624.68,1097.72
56,2025-04-21,North America,Webcam,9,30.12,271.08,200.61
57,2025-03-20,North America,Laptop,9,364.38,3279.42,2574.62
58,2024-04-12,Asia Pacific,Keyboard,10,87.9,879.0,563.28
59,2025-05-09,North America,Keyboard,9,258.74,2328.66,1269.27
60,2024-04-15,Latin America,Laptop,4,147.18,588.72,420.81
61,2024-10-06,Latin America,Headphones,8,175.17,1401.36,988.94
62,2025-02-03,Asia Pacific,Headphones,2,490.07,980.14,626.8
63,2024-09-09,Latin America,Keyboard,2,468.45,936.9,731.06
64,2025-03-09,Asia Pacific,Mouse,7,157.06,1099.42,706.35
65,2024-06-24,North America,Monitor,4,430.24,1720.96,1027.07
66,2024-06-15,Latin America,Mouse,7,95.3,667.1,379.44
67,2024-02-09,North America,Monitor,9,245.42,2208.78,1177.87
68,2025-02-02,Europe,Webcam,4,268.93,1075.72,775.78
69,2024-11-13,North America,Mouse,4,315.76,1263.04,867.64
70,2024-04-03,Europe,Keyboard,1,155.78,155.78,90.47
71,2024-02-25,Asia Pacific,Headphones,6,497.79,2986.74,1590.77
72,2024-03-09,Latin America,Webcam,1,47.02,47.02,30.32
73,2024-11-14,Latin America,Monitor,3,174.91,524.73,318.99
74,2024-11-09,North America,Laptop,8,292.07,2336.56,1489.96
75,2024-02-27,Asia Pacific,Headphones,5,417.49,2087.45,1313.16
76,2025-03-13,Latin America,Monitor,5,59.63,298.15,153.51
77,2024-01-11,Asia Pacific,Monitor,7,340.65,2384.55,1444.76
78,2024-06-07,North America,Mouse,3,288.12,864.36,506.72
79,2024-09-04,North America,Monitor,7,141.67,991.69,585.13
80,2025-05-13,North America,Webcam,2,62.23,124.46,77.08
81,2024-09-19,North America,Headphones,5,290.03,1450.15,1062.69
82,2025-02-11,North America,Webcam,9,291.35,2622.15,1459.33
83,2025-02-01,Europe,Monitor,8,458.4,3667.2,2187.68
84,2025-01-07,North America,Webcam,8,38.11,304.88,153.36
85,2024-08-04,Asia Pacific,Keyboard,9,445.27,4007.43,2641.82
86,2024-12-21,Europe,Headphones,3,161.35,484.05,261.94
87,2024-10-12,Latin America,Headphones,9,111.81,1006.29,685.57
88,2024-06-29,Europe,Headphones,9,265.86,2392.74,1370.19
89,2024-02-21,Europe,Headphones,10,489.58,4895.8,2467.04
90,2024-01-15,North America,Mouse,5,245.02,1225.1,763.42
91,2025-02-16,Latin America,Webcam,6,461.67,2770.02,1460.23
92,2024-02-08,North America,Monitor,4,414.29,1657.16,985.82
93,2024-07-08,Latin America,Monitor,8,38.27,306.16,158.34
94,2024-09-25,Asia Pacific,Mouse,6,354.0,2124.0,1376.63
95,2024-11-16,North America,Mouse,10,404.86,4048.6,3013.68
96,2024-09-12,Asia Pacific,Monitor,10,72.96,729.6,386.05
97,2024-03-09,Latin America,Monitor,5,338.56,1692.8,1194.3
98,2024-03-24,Europe,Headphones,1,113.49,113.49,61.61
99,2024-06-28,North America,Mouse,1,170.87,170.87,103.43
100,2024-01-15,Asia Pacific,Headphones,8,38.95,311.6,180.91
101,2024-07-19,North America,Monitor,10,36.83,368.3,283.58
102,2024-12-15,North America,Mouse,2,60.03,120.06,72.72
103,2025-03-03,Latin America,Webcam,7,299.62,2097.34,1491.95
104,2024-05-03,Europe,Mouse,10,112.09,1120.9,571.41
105,2024-10-27,North America,Monitor,8,422.23,3377.84,1753.38
106,2024-08-01,North America,Keyboard,6,354.54,2127.24,1668.99
107,2024-05-24,Europe,Laptop,6,468.57,2811.42,1925.9
108,2024-05-02,Asia Pacific,Mouse,10,114.17,1141.7,772.35
109,2024-01-06,Asia Pacific,Mouse,3,222.23,666.69,526.44
110,2024-06-21,Asia Pacific,Mouse,5,34.48,172.4,101.85
111,2024-08-14,North America,Webcam,7,401.47,2810.29,1509.39
112,2025-02-05,Asia Pacific,Keyboard,10,437.47,4374.7,2787.02
113,2025-01-07,Asia Pacific,Headphones,10,186.25,1862.5,1193.2
114,2024-01-30,Latin America,Monitor,4,303.66,1214.64,937.11
115,2024-12-25,North America,Headphones,5,263.32,1316.6,990.17
116,2024-05-11,North America,Laptop,4,479.23,1916.92,1044.58
117,2024-02-19,North America,Keyboard,7,38.68,270.76,174.75
118,2024-06-18,Asia Pacific,Monitor,5,115.15,575.75,430.16
119,2024-03-08,Latin America,Monitor,1,392.33,392.33,295.31
120,2024-07-04,Asia Pacific,Mouse,4,55.16,220.64,149.58
121,2024-09-02,Latin America,Mouse,2,100.84,201.68,146.85
122,2025-02-05,Latin America,Webcam,2,405.31,810.62,617.75
123,2024-12-27,Asia Pacific,Laptop,6,392.41,2354.46,1508.64
124,2025-01-15,North America,Keyboard,3,427.6,1282.8,825.28
125,2024-05-18,Latin America,Laptop,7,59.39,415.73,222.72
126,2024-05-06,Europe,Laptop,3,245.06,735.18,478.01
127,2025-02-18,Europe,Laptop,9,316.75,2850.75,1608.39
128,2025-03-21,Europe,Monitor,5,257.92,1289.6,887.41
129,2024-07-05,North America,Webcam,3,91.89,275.67,175.59
130,2024-08-02,North America,Mouse,2,210.59,421.18,278.41
131,2024-08-08,Asia Pacific,Laptop,7,276.62,1936.34,1345.58
132,2024-12-04,North America,Keyboard,8,54.56,436.48,269.03
133,2024-03-28,Europe,Headphones,3,420.71,1262.13,714.0
134,2024-10-12,Asia Pacific,Laptop,7,146.6,1026.2,651.08
135,2025-02-21,Asia Pacific,Keyboard,9,233.47,2101.23,1388.43
136,2024-06-22,North America,Keyboard,8,140.45,1123.6,570.15
137,2024-07-13,Europe,Headphones,5,478.47,2392.35,1228.27
138,2024-04-27,Latin America,Mouse,5,129.51,647.55,516.09
139,2024-08-06,Latin America,Headphones,2,477.94,955.88,612.28
140,2025-01-31,Asia Pacific,Headphones,4,395.4,1581.6,935.53
141,2024-10-20,Asia Pacific,Keyboard,6,38.93,233.58,181.99
142,2025-01-22,Latin America,Headphones,5,288.61,1443.05,850.19
143,2025-04-04,Europe,Headphones,7,157.6,1103.2,670.59
144,2025-02-21,North America,Laptop,5,93.39,466.95,312.2
145,2024-11-16,Asia Pacific,Mouse,4,165.67,662.68,355.54
146,2025-01-26,Europe,Headphones,4,457.48,1829.92,1091.49
147,2024-12-31,Europe,Monitor,1,321.39,321.39,243.1
148,2024-05-31,North America,Headphones,7,399.37,2795.59,1551.82
149,2024-01-10,North America,Keyboard,5,402.27,2011.35,1425.38
150,2024-02-14,North America,Webcam,1,99.63,99.63,50.21
151,2024-03-25,Asia Pacific,Webcam,4,338.91,1355.64,864.29
152,2025-01-22,Latin America,Headphones,3,30.77,92.31,60.04
153,2025-01-03,Asia Pacific,Webcam,3,77.92,233.76,185.78
154,2024-02-22,Asia Pacific,Webcam,3,499.03,1497.09,1048.28
155,2025-01-26,Europe,Mouse,8,470.8,3766.4,2013.04
156,2024-05-24,North America,Headphones,8,496.35,3970.8,2067.96
